Country,Region,scenario,Technology,year,generation_GWh
Canada,AB,CER_HighDemand,Hydro,2010,1558.342
Canada,AB,CER_HighDemand,Hydro,2020,2434.336
Canada,AB,CER_HighDemand,Hydro,2030,2349.3426
Canada,AB,CER_HighDemand,Hydro,2040,2248.034631
Canada,AB,CER_HighDemand,Hydro,2050,2061.583149
Canada,AB,CER_HighDemand,Natural Gas,2010,59045.973
Canada,AB,CER_HighDemand,Natural Gas,2020,67670.804
Canada,AB,CER_HighDemand,Natural Gas,2030,18702.3034327
Canada,AB,CER_HighDemand,Natural Gas,2040,3943.326059
Canada,AB,CER_HighDemand,Natural Gas,2050,3508.7219480000003
Canada,AB,CER_HighDemand,Natural gas with CCUS,2030,7066.940824
Canada,AB,CER_HighDemand,Natural gas with CCUS,2040,18179.96798
Canada,AB,CER_HighDemand,Natural gas with CCUS,2050,17024.12663
Canada,AB,CER_HighDemand,Nuclear,2010,0
Canada,AB,CER_HighDemand,Nuclear,2020,0
Canada,AB,CER_HighDemand,Other,2010,0
Canada,AB,CER_HighDemand,Other,2020,37.373
Canada,AB,CER_HighDemand,Solar,2010,0
Canada,AB,CER_HighDemand,Solar,2020,26.344
Canada,AB,CER_HighDemand,Solar,2030,20.5058325
Canada,AB,CER_HighDemand,Solar,2040,6316.142716
Canada,AB,CER_HighDemand,Solar,2050,16057.36928
Canada,AB,CER_HighDemand,Storage,2030,0
Canada,AB,CER_HighDemand,Storage,2040,0
Canada,AB,CER_HighDemand,Storage,2050,0
Canada,AB,CER_HighDemand,Wind,2010,687.801
Canada,AB,CER_HighDemand,Wind,2020,5285.665
Canada,AB,CER_HighDemand,Wind,2030,35327.63069
Canada,AB,CER_HighDemand,Wind,2040,53397.65837
Canada,AB,CER_HighDemand,Wind,2050,68613.27978
Canada,AB,DSF,Biomass,2025,3653.558
Canada,AB,DSF,Biomass,2030,3620.997
Canada,AB,DSF,Biomass,2035,1773.129
Canada,AB,DSF,Biomass,2040,0
Canada,AB,DSF,Biomass,2045,0
Canada,AB,DSF,Biomass,2050,0
Canada,AB,DSF,Hydro,2010,1558.342
Canada,AB,DSF,Hydro,2020,2434.336
Canada,AB,DSF,Hydro,2025,2001.501
Canada,AB,DSF,Hydro,2030,2001.501
Canada,AB,DSF,Hydro,2035,0
Canada,AB,DSF,Hydro,2040,0
Canada,AB,DSF,Hydro,2045,0
Canada,AB,DSF,Hydro,2050,0
Canada,AB,DSF,Natural Gas,2010,59045.973
Canada,AB,DSF,Natural Gas,2020,67670.804
Canada,AB,DSF,Natural Gas,2025,72170.108
Canada,AB,DSF,Natural Gas,2030,25057.846
Canada,AB,DSF,Natural Gas,2035,0
Canada,AB,DSF,Natural Gas,2040,0
Canada,AB,DSF,Natural Gas,2045,0
Canada,AB,DSF,Natural Gas,2050,288.643
Canada,AB,DSF,Nuclear,2010,0
Canada,AB,DSF,Nuclear,2020,0
Canada,AB,DSF,Nuclear,2025,0
Canada,AB,DSF,Nuclear,2030,0
Canada,AB,DSF,Nuclear,2035,0
Canada,AB,DSF,Nuclear,2040,0
Canada,AB,DSF,Nuclear,2045,0
Canada,AB,DSF,Nuclear,2050,0
Canada,AB,DSF,Other,2010,0
Canada,AB,DSF,Other,2020,37.373
Canada,AB,DSF,Other fossil fuels,2025,0
Canada,AB,DSF,Other fossil fuels,2030,0
Canada,AB,DSF,Other fossil fuels,2035,0
Canada,AB,DSF,Other fossil fuels,2040,0
Canada,AB,DSF,Other fossil fuels,2045,0
Canada,AB,DSF,Other fossil fuels,2050,0
Canada,AB,DSF,Solar,2010,0
Canada,AB,DSF,Solar,2020,26.344
Canada,AB,DSF,Solar,2025,0
Canada,AB,DSF,Solar,2030,2910.249
Canada,AB,DSF,Solar,2035,2502.796
Canada,AB,DSF,Solar,2040,3145.716
Canada,AB,DSF,Solar,2045,6471.706
Canada,AB,DSF,Solar,2050,7163.963
Canada,AB,DSF,Wind,2010,687.801
Canada,AB,DSF,Wind,2020,5285.665
Canada,AB,DSF,Wind,2025,7897.516
Canada,AB,DSF,Wind,2030,73921.129
Canada,AB,DSF,Wind,2035,124029.012
Canada,AB,DSF,Wind,2040,157530.146
Canada,AB,DSF,Wind,2045,183996.562
Canada,AB,DSF,Wind,2050,209161.108
Canada,AB,EPRI,Biomass,2025,2244.363896
Canada,AB,EPRI,Biomass,2030,2466.168373
Canada,AB,EPRI,Biomass,2035,4057.338827
Canada,AB,EPRI,Biomass,2040,3385.768695
Canada,AB,EPRI,Biomass,2045,3291.888295
Canada,AB,EPRI,Biomass,2050,3022.770425
Canada,AB,EPRI,Biomass CCUS,2025,0
Canada,AB,EPRI,Biomass CCUS,2030,0
Canada,AB,EPRI,Biomass CCUS,2035,0
Canada,AB,EPRI,Biomass CCUS,2040,0
Canada,AB,EPRI,Biomass CCUS,2045,0
Canada,AB,EPRI,Biomass CCUS,2050,0
Canada,AB,EPRI,Distributed solar,2025,0
Canada,AB,EPRI,Distributed solar,2030,0
Canada,AB,EPRI,Distributed solar,2035,0
