year,% of variable renewable energy,% other capacity,scenario_name
2050,72.09341629063061,27.906583709369386,DSF
2040,66.74373451614291,33.25626548385709,DSF
2050,55.67604319745657,44.32395680254343,IET
2040,49.167655180147804,50.832344819852196,IET
2030,46.822511938825606,53.177488061174394,DSF
2050,43.69483903128283,56.30516096871717,CER_HighDemand
2040,36.62753857948748,63.37246142051252,CER_HighDemand
2030,35.115864527629235,64.88413547237076,JANDG
2050,32.54543582934473,67.45456417065526,EPRI
2040,31.811270865021463,68.18872913497853,EPRI
2030,26.777633267889744,73.22236673211026,IET
2030,25.310768504509745,74.68923149549025,CER_HighDemand
2030,23.540126120244757,76.45987387975524,EPRI
2017,9.375571791834444,90.62442820816555,CER_HighDemand
2017,9.375571791834444,90.62442820816555,DSF
2017,9.375571791834444,90.62442820816555,EPRI
2017,9.375571791834444,90.62442820816555,IET
2017,9.375571791834444,90.62442820816555,JANDG
